AppName,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,global_hit_rate,local_hit_rate,gst_requested_throughput,gld_throughput,local_memory_overhead,tex_cache_hit_rate,tex_cache_throughput,l2_tex_write_throughput,sysmem_write_throughput,shared_store_throughput,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,l2_utilization,ldst_fu_utilization,flop_dp_efficiency
cudasdk_c++11Cuda,1.0,0.693698095484,0.690480752811,0.0,0.124999375,0.03125,0.862634598537,0.0,0.0,0.00683763560203,0.0,0.827471087823,0.00878606930123,0.0,0.0,0.0,0.125,0.120719810764,0.275131493931,0.741557970554,0.0,0.0,0.0226236015486,0.0,0.2,0.0
cudasdk_stereoDisparity,1.0,0.957916686452,0.953174308547,0.0,0.0,0.125,0.0,0.0,0.0110125724991,0.0,0.0,0.635497416772,0.259824943299,0.00634773756535,0.0,0.265291790192,1.0,0.0417235476596,0.414020089463,0.119241317161,0.00436619756472,0.32491635034,0.259253636701,0.4,1.0,0.0
cudasdk_MCSingleAsianOptionP,1.0,1.0,0.975750937525,0.498531625,0.671875,1.0,0.839896766622,0.518723007246,0.689219436612,0.358791405553,0.528554409802,0.676889429708,0.266158202042,0.397271764515,0.0136533332819,0.00218036584994,1.0,0.115307084359,0.285550851072,0.982303663611,0.0426853811248,0.0155929657979,0.808669828523,0.6,0.2,0.0
lonestar_dmr,0.909626979206,0.806304123871,0.745837695613,0.259635875,0.47080965625,0.12457459375,0.237554318753,0.469781320451,0.00433419744331,0.192542583073,0.071407902776,0.437850252121,0.0335553113683,0.0322941699414,0.0136533332819,0.0,0.45184167,0.200710333411,0.302330694821,0.451505158291,0.00289397897211,0.525678327013,0.0371193418813,0.0,0.2,0.0512778278198
parboil_lbm,1.0,0.884715323871,0.848583426625,0.0,0.234375,0.133634875,0.575090683174,0.0,0.360270893335,0.167857991921,0.0,0.526289319891,0.0575107174725,0.236809104759,0.0,0.0,0.87692308,0.0161994997456,0.289495088614,0.237145841888,0.647182930404,0.0,0.287485265384,0.4,0.2,0.0
cudasdk_dct8x8,1.0,1.0,1.0,0.0,0.25,0.25,0.575090683174,0.0,0.659940106527,0.292105259916,0.0,0.526289319891,0.0938247128326,0.380394917304,0.546666664989,0.309938560341,1.0,0.677257565103,0.739312866199,0.511705716375,0.0141643531,0.151050206047,0.343222795805,0.6,0.6,0.0
cudasdk_lineOfSight,1.0,0.998894059355,0.959888383178,0.49619675,0.3028115625,0.1453683125,0.580863236419,0.768945722625,0.039807647662,0.0340655465767,0.592636283499,0.78901294838,0.0109419122612,0.0229468444647,0.879999998322,0.00316173774768,0.9999,0.480812687996,0.223641422084,0.362253231407,0.0,0.26456346818,0.176781191879,0.0,0.2,0.0
cudasdk_mergeSort,1.0,1.0,0.985607835284,0.0,0.5962169375,0.27065659375,0.653821874402,0.0,0.355445213208,0.203404741865,0.0,0.536252660892,0.0738319607594,0.248121438654,0.320000004474,0.392201071808,1.0,0.0972171771454,0.244769922379,0.997777044102,8.29450078469e-06,0.476989018041,0.78829805852,0.4,0.6,0.0
cudasdk_transpose,1.0,1.0,1.0,0.0,0.25,1.0,0.575090683174,0.0,0.399914713436,0.177011807825,0.0,0.526289319891,0.0568564976951,0.687863751889,0.0800000011185,0.124235966625,1.0,0.0496587994082,0.149041416457,0.912016186192,0.000187759849429,0.0996621511972,0.136664475837,0.8,0.4,0.0
cudasdk_dwtHaar1D,1.0,1.0,1.0,0.0,0.140625,0.125,0.287545341587,0.0,0.0105355479267,0.00322260407251,0.0,0.526289319891,0.00103510598119,0.00607277666972,1.13333333054,0.00351400568803,1.0,0.338580764377,0.237746947437,0.110462832197,0.0,0.19452698966,0.13702694475,0.0,0.2,0.0
cudasdk_convolutionTexture,1.0,1.0,0.989134121627,0.0,0.0,0.125,0.0,0.0,0.20423493755,0.0,0.0,1.0,0.987247166339,0.117722701517,0.0,0.0,1.0,0.0131196692099,0.240983084709,0.074399178103,0.648451850782,0.0,0.699717951137,0.4,0.2,0.0
poly_atax,1.0,1.0,0.99990682839,0.0,0.56246184375,0.125,0.670923530077,0.0,0.191451583903,0.699136550818,0.0,0.578913115296,0.05444479006,0.110354271102,0.0,0.0,1.0,0.0182321146024,0.0067952566682,1.00424037305,0.0,0.0,0.0178981958623,0.8,0.2,0.0
poly_3dconv,1.0,0.99427012129,0.978787087109,0.0,0.292613625,0.125,0.580674089094,0.0,0.0957041086638,0.544361989735,0.0,0.531030660374,0.150850759763,0.0555979114149,0.320000004474,0.0,0.9921875,0.0415918343582,0.119493223623,0.187928883845,0.513643817879,0.0,0.708383290446,0.4,0.2,0.0
cudasdk_BlackScholes,1.0,1.0,0.874731513557,0.0,0.25,0.25,0.0,0.0,0.341016356184,0.226412981933,0.0,0.0,0.0727242399453,0.19656463871,0.0,0.0,1.0,0.0193763674693,0.0361968153218,0.793721441618,0.0172839424935,0.0,0.0479421866468,0.4,0.2,0.0
cudasdk_interval,0.997679229199,0.995243427097,0.928308874478,0.694462375,0.0,0.4168181875,0.0,0.503950754831,0.0169730010109,0.0,0.936543465566,0.501470947072,0.0202099121301,0.110218178125,0.0,0.0,0.52895956,0.0227207284739,0.998803016706,0.0514090279943,4.14725039234e-07,0.0,0.0797265893657,0.0,0.2,0.652129533228
cudasdk_threadFenceReduction,1.0,0.998653109677,0.993923396317,0.0,0.25,0.03125,0.575090683174,0.0,2.22034306718e-05,0.170272278514,0.0,0.526285309566,0.0546917492673,0.000109496054806,0.0800000011185,0.00148639004973,0.125,0.04676380021,0.0590796795001,0.906496506637,0.0,0.0322936078455,0.0184553668722,0.2,0.2,0.0
poly_syrk,1.0,1.0,0.99963659356,0.0,0.5623475,0.125,0.0959524312591,0.0,0.356960616858,1.3023809084,0.0,0.167583076716,0.101449970182,0.205755041992,0.0,0.0,1.0,0.00352264273666,0.0115666999,0.936650458983,0.201177918645,0.0,0.00888048837031,1.8,0.2,0.0
cudasdk_quasirandomGenerator,1.0,1.0,0.999563437433,0.0,0.0,0.125,0.0,0.0,0.691382920158,0.0,0.0,0.526289319891,0.0,0.398518814265,0.0400000005592,0.0,1.0,0.327812624295,0.700164180209,0.0,0.0,0.0,0.782948476806,0.4,0.2,0.0
cudasdk_boxFilterNPP,0.31204091086,0.570003860645,0.565110310242,0.0,0.115234375,0.25,0.272924397084,0.0,0.0483724480669,0.240876309521,0.0,0.233906362057,0.0481413308349,0.027882277801,0.160000002237,0.0,1.0,0.619998603536,0.139087408038,0.284750853142,0.000423434265058,0.0,0.0685405567116,0.2,0.2,0.0
