KernelName,sm_efficiency,achieved_occupancy,ipc,issued_ipc,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,issue_slot_utilization,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_load_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,dram_read_throughput,dram_write_throughput,tex_cache_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,cf_fu_utilization,tex_fu_utilization,ldst_fu_utilization,double_precision_fu_utilization,special_fu_utilization,single_precision_fu_utilization,dram_utilization,tex_utilization,shared_efficiency,shared_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_memory_throttle,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_write_throughput,l2_utilization,eligible_warps_per_cycle,flop_sp_efficiency,flop_dp_efficiency
"[[ convolutionFFT2D ]] void spVector1024C::kernelTex<unsigned int, float, fftDirection_t=1, unsigned int=2, unsigned int=5, LUT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_t, unsigned int, float>)",0.990911353156,0.351229641311,0.0660355567473,0.251948452834,1.0,1.0,0.99860316909,0.000504000504001,0.242306403136,0.0,0.0,0.25,0.25,0.00965363802628,0.0953688808567,0.0,0.294934793234,0.469393667279,0.153609149485,0.374749253492,0.510366590407,0.473920933818,0.186156324146,0.0889678461415,0.196063358282,1.0,1.0,0.0,0.3,0.2,0.0,0.0,0.142857142857,1.0,0.2,0.555555555556,0.2,0.0287736099552,0.298070694857,0.143618156959,0.896503863673,0.0860176252328,0.134541969271,0.00153301185765,0.153584107426,0.0,0.0315773591935,0.424562274333,0.38943227,0.491056262676,0.277646284214,0.49119584472,0.277652398191,0.0,0.5,0.0129143315817,0.167644713323,0.0
"[[ convolutionFFT2D ]] void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>)",0.99138427507,0.581831051226,0.0833714080699,0.315086866101,1.0,1.0,0.991101223593,0.000537750537751,0.320748295884,0.0,0.0,0.125,0.2578125,0.00482681901314,0.858319962043,0.0,0.0066465045195,0.465629908644,0.0138499261548,0.383359335624,0.505896493078,0.470398286588,0.152073945858,0.0441262640994,0.0972434863044,0.25,0.97142857,0.0,0.2,0.2,0.0,0.25,0.285714285714,1.0,0.2,0.555555555556,0.1,0.017206077773,0.230242389464,0.116854510087,0.583092106031,0.088094602875,0.313012502024,0.00166536618016,0.237179756029,0.0,0.188356179307,0.071709763515,0.08501209,0.262289319229,0.284025369131,0.262431515006,0.284031483109,0.0,0.333333333333,0.026498569507,0.152379208584,0.0
"[[ convolutionFFT2D ]] modulateAndNormalize_kernel(float2*, float2*, int, float)",0.996468863455,0.923887664366,0.0220954702581,0.0896299115418,1.0,1.0,0.956989245647,0.001089001089,0.0940779378235,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.398154096219,0.32673297941,0.207368250498,0.260853412946,0.709814000966,0.329964455175,0.121955172232,0.0,0.0,1.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0055197777241,0.00974564611631,0.976217242198,3.5893048057e-05,0.0,0.0113148640875,0.000832939056339,0.0568725404589,0.0,0.0,0.0,0.99960049,0.336549774796,0.193262508608,0.33652807102,0.193262508608,0.0,0.333333333333,0.00252206231829,0.0258386902904,0.0
"[[ convolutionFFT2D ]] spProcess2D_kernel(float2*, float2*, float2*, unsigned int, unsigned int, unsigned int, float, float)",0.995501948186,0.856153722017,0.05617557082,0.215513182229,1.0,0.99995735642,0.982160878156,0.0004545004545,0.230137062438,0.0,0.0,0.0,0.27024859375,0.0,0.0,0.0,0.0,0.320332529111,0.0,0.276472089826,0.695920744646,0.324124847729,0.11956427409,0.0,0.0,0.0,0.92501945,0.0,0.2,0.2,0.0,0.25,0.142857142857,1.0,0.2,0.0,0.0,0.00511390425576,0.0213091371943,0.432308193738,0.12607356407,0.0,0.397667795482,0.000879396725838,0.406057341656,0.0,0.315543656131,0.0282477146324,0.99371545,0.341491600272,0.204834159678,0.341511858153,0.204834159678,0.0,0.333333333333,0.0121993348761,0.115464333655,0.0
"[[ convolutionFFT2D ]] void spRadix0032B::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=64, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>)",0.991249712677,0.581915825899,0.0831524940738,0.313901873769,1.0,1.0,0.991101223593,0.000639000639001,0.319540625866,0.0,0.0,0.125,0.25,0.00482681901314,0.858319962043,0.0,0.00662760428223,0.464782035417,0.013823675116,0.371067470549,0.505009205302,0.468972454525,0.151797998882,0.044045913853,0.0970664140267,0.25,1.0,0.0,0.2,0.2,0.0,0.25,0.285714285714,1.0,0.2,0.555555555556,0.1,0.0130820953099,0.232783607917,0.120197116579,0.578181563449,0.0928189662747,0.312283580606,0.00207752206424,0.224416583552,0.0,0.124647467731,0.0717107340661,0.28939819,0.261810047904,0.274918504655,0.261877758339,0.274924618632,0.0,0.333333333333,0.0271981193227,0.151445706035,0.0
"[[ convolutionFFT2D ]] void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>)",0.991505631729,0.584072983844,0.0878539118418,0.333548852012,1.0,1.0,0.991660490667,0.000614250614251,0.34044884579,0.0,0.0,0.125,0.25,0.00482681901314,0.858319962043,0.0,0.0076797062159,0.461400856704,0.0160089516641,0.368368042996,0.501291605189,0.465093360536,0.161458082449,0.0437254903104,0.0963602789616,0.25,1.0,0.0,0.2,0.2,0.0,0.25,0.285714285714,1.0,0.2,0.555555555556,0.1,0.0173978094115,0.224391217683,0.0995177863675,0.64658604074,0.0883852953256,0.33967413356,0.00155830380224,0.204596651043,0.0,0.141693273574,0.082476346456,0.0,0.263620631007,0.27291853795,0.26369343279,0.272924658495,0.0,0.333333333333,0.0294958102048,0.170901245386,0.0
"[[ convolutionFFT2D ]] padKernel_kernel(float*, float*, int, int, int, int, int, int)",0.026145896498,0.10354868824,0.00878643613424,0.0482873563156,1.0,0.508619960874,0.518744566968,0.208494208494,0.0529488208928,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.000688228972046,0.0,0.00147931679965,0.00357680037986,0.0107356656963,0.00034580241715,0.0,0.0,0.0,0.375,0.0,0.1,0.2,0.0,0.0,0.0,0.111111111111,0.1,0.0,0.0,0.262853409143,0.0719094785556,0.395553186692,0.0,0.0,0.0439593163369,0.4527101991,0.022557537918,0.0,0.268992323733,0.236285196513,0.0,0.000567116648839,0.00109600435163,0.0040129280382,0.00157198338509,0.765432100044,0.0,0.000829802088192,0.0,0.0
"[[ convolutionFFT2D ]] padDataClampToBorder_kernel(float*, float*, int, int, int, int, int, int, int, int)",0.993930435109,0.855192601929,0.127757885887,0.478956114739,1.0,1.0,0.975422431983,0.00043875043875,0.52519223322,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.490445854993,0.0,0.391556663093,0.508333709494,0.49604226911,0.183061084602,0.0,0.0,0.0,1.0,0.0,0.3,0.2,0.0,0.0,0.428571428571,1.0,0.2,0.0,0.0,0.039769282621,0.0944102948589,0.752203216554,0.0,0.0,0.146587555257,0.00128678209679,0.0282770868198,0.0,0.535380052149,0.00970697538938,0.0,0.243848017144,0.290098650108,0.243859455851,0.290098650108,0.0,0.333333333333,0.0327180994601,0.0,0.0
"[[ convolutionFFT2D ]] void spRadix0064B::kernel1Tex<unsigned int, float, fftDirection_t=-1, unsigned int=32, unsigned int=4, CONSTANT, ALL, WRITEBACK>(kernel_parameters_t<fft_tex_radix1_t, unsigned int, float>)",0.991596855403,0.582958656515,0.0886416655499,0.336704596873,1.0,1.0,0.991660490667,0.000528750528751,0.343671038009,0.0,0.0,0.125,0.25,0.00482681901314,0.858319962043,0.0,0.00773640692771,0.464626933949,0.016123792472,0.370943642378,0.505289989825,0.46875229822,0.162585027034,0.0440312153805,0.0970340221909,0.25,1.0,0.0,0.2,0.2,0.0,0.25,0.285714285714,1.0,0.2,0.555555555556,0.1,0.0180735427785,0.222132096472,0.101245573196,0.661791883701,0.0867858191876,0.341698854547,0.00152877597099,0.196764840102,0.0,0.203388717986,0.100559914288,0.0,0.27255638038,0.274826762159,0.272649342598,0.274826762159,0.0,0.333333333333,0.0294445731622,0.170750684595,0.0
"[[ convolutionFFT2D ]] spPreprocess2D_kernel(float2*, float2*, unsigned int, unsigned int, unsigned int, unsigned int, float)",0.993405298492,0.829110601328,0.0632479347573,0.240467217825,1.0,0.986078160583,0.963086329266,0.000598500598501,0.254426791609,0.0,0.0,0.0,0.26230421875,0.0,0.0,0.0,0.0,0.471306555788,0.0,0.407150583203,0.51396063954,0.478890373946,0.0883011883703,0.0,0.0,0.0,0.9241846,0.0,0.2,0.2,0.0,0.25,0.142857142857,1.0,0.1,0.0,0.0,0.00659526709974,0.0375398155958,0.590962076826,0.00751762545471,0.0,0.235375755832,0.00135429582423,0.356052892883,0.0,0.310256858871,0.026252797007,0.15453403,0.251574938557,0.301651959246,0.251542791012,0.301651959246,0.0,0.333333333333,0.0127580848323,0.0349478746012,0.0
[[ convolutionFFT2D ]] __nv_static_73__60_tmpxft_00002314_00000000_15_spRealComplex_compute_60_cpp1_ii_1f28721c__ZN13spRealComplex23preprocessC2C_kernelMemIjfL9fftAxii_t3EEEvP7ComplexIT0_EPKS4_T_15coordDivisors_tIS8_E7coord_tIS8_ESC_S8_S3_10callback_t,0.992763227744,0.788975411259,0.115795930366,0.436283146133,0.955954821056,0.96217899155,0.940748688898,0.000596250596251,0.462394257739,0.0,0.0,0.37294409375,0.254825375,0.0,0.423955174549,0.0,0.286467588407,0.468338988394,0.165746293128,0.404946468337,0.513915717393,0.476762106269,0.0915006329713,0.0,0.0,0.90017513,0.92335437,0.0,0.2,0.2,0.0,0.25,0.428571428571,1.0,0.1,0.0,0.0,0.0250356422722,0.185220027075,0.701190187381,0.00226666599951,0.0,0.057913042181,0.00547034389987,0.0743709728151,0.0,0.346152127212,0.0788911138866,0.16990955,0.268999123498,0.300018962524,0.269113836855,0.300025076501,0.0,0.333333333333,0.0310823223862,0.0841881417017,0.0
"[[ MC_EstimatePiInlineP ]] initRNG(curandStateXORWOW*, unsigned int)",0.941596323978,0.883918959498,0.108800929215,0.416346406992,0.652111732348,0.725283858647,0.506302348127,0.000306000306,0.324450691771,0.418488289521,0.480475,0.0999115,1.0,0.0,0.831952578806,0.503220611916,0.0821961848417,0.0060987674607,0.342487867843,0.0204974536647,0.000368030906244,0.0258851109192,0.738127997708,0.0,0.0,0.125,0.23214286,0.0,0.8,0.2,0.0,0.0,0.142857142857,0.111111111111,0.7,0.0,0.0,0.138761984476,0.0579521226823,0.0503548201696,0.577796980781,0.0,0.991841925249,0.000467377925468,0.000355853779453,0.0278449169845,0.756541602571,0.836674687045,0.84321681,0.557025322604,0.0318770892227,0.55909461168,0.0318770892227,0.0,0.333333333333,0.0117110868574,0.0,0.0
"[[ MC_EstimatePiInlineP ]] void computeValue<float>(unsigned int*, curandStateXORWOW*, unsigned int)",0.746789989032,0.818756856024,0.163373604822,0.576924761096,1.0,0.977716800999,0.965354943366,0.0105052605053,0.601745404703,0.0,0.0,1.0,0.03125,6.0725590154e-05,0.0,0.0,0.189434886423,0.000412937376566,0.394649027152,0.00264586376722,0.170447903473,0.143568556862,0.058024178126,0.0208696297661,0.0324648832502,0.25,0.125,0.0,0.1,0.2,0.0,0.25,0.571428571429,0.333333333333,0.1,0.305316094444,0.1,0.130303028673,0.107435682445,0.531153938816,0.000905365443601,0.126371096751,0.143892669613,0.0592724376907,0.00137351260473,0.0,0.0,0.517175859897,0.95876289,0.640498441263,0.00196028207304,0.642738104604,0.0020792768314,0.19753086244,0.5,0.0368479372194,0.0535111699691,0.0
"[[ convolutionSeparable ]] convolutionRowsKernel(float*, float*, int, int, int)",0.998705961937,0.968479142366,0.0824430546338,0.312368465581,1.0,1.0,0.999737734204,0.00026775026775,0.2162449567,0.0,0.0,0.24791665625,0.125,0.350246054641,0.572213308029,0.0,0.247117747639,0.327187936317,0.128704879547,0.261216636341,0.355418033621,0.332270946231,0.0756925214667,1.0,0.170832569003,1.0,1.0,0.0,0.2,0.6,0.0,0.0,0.142857142857,0.666666666667,0.1,0.277777777778,1.0,0.00638190916541,0.280290786749,0.00414702002818,0.0068435633524,0.106797427874,0.659588698177,0.000382098149147,0.00750347963896,0.0,0.526289319891,0.161711646217,0.5,0.208882498274,0.193531615551,0.208882431196,0.193531615551,0.0,0.166666666667,0.0225040231879,0.220599717082,0.0
"[[ convolutionSeparable ]] convolutionColumnsKernel(float*, float*, int, int, int)",0.997615288028,0.925996817375,0.0914992580449,0.345572307508,1.0,1.0,0.999191019388,0.00029025029025,0.282030156088,0.0,0.0,0.24895834375,0.125,0.198201255727,0.572213308029,0.0,0.282832485614,0.37292166391,0.14730597596,0.297729017035,0.504234240982,0.378694320349,0.0866319970675,0.644975237977,0.194705076091,1.0,1.0,0.0,0.2,0.4,0.0,0.0,0.285714285714,0.888888888889,0.1,0.277777777778,0.7,0.014501976147,0.420451166164,0.18172782545,0.0998326770176,0.0834760466388,0.333521344249,0.000566900699313,0.157582155797,0.0,0.526289319891,3.5391648585e-05,0.4999984,0.239071279795,0.220583108604,0.239072677753,0.220583108604,0.0,0.333333333333,0.0105114852674,0.250562853322,0.0
"[[ nvgraph_SSSP ]] void nvgraph::DeviceSpmvSearchKernel<nvgraph::SpmvBlockThread<int=128, int=4>, int, float>(int, nvgraph::Coord<int=4>*, nvgraph::CsrMvParams<nvgraph::Coord, nvgraph::SpmvBlockThread<int=128, int=4>>)",0.00192685139703,0.0380576998895,0.00186704118796,0.0206132984034,1.0,0.653422245161,0.662936158434,0.459184959185,0.021746477882,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,6.35288288721e-05,0.0,0.000228237453647,0.0,0.000161034988372,0.0,0.0,0.0,0.0,0.25,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351819302537,0.121672072958,0.0,0.0,0.0,0.0503774514992,0.828876537069,0.0159507015076,0.0,0.0,0.0,1.0,0.0,0.000169097817629,0.00281341150302,0.00067639125738,0.839506175077,0.0,-0.000250907024023,0.0,0.0
"[[ nvgraph_SSSP ]] void axpy_kernel_val<float, float, int=0>(cublasAxpyParamsVal<float, float, float>)",0.0123054436616,0.0808055840975,0.00919198693759,0.0450299789004,1.0,0.908583833174,0.806451620895,0.223602973603,0.0443779133628,0.0,0.0,0.0625,0.03125,0.0,0.572213308029,0.0,0.000122572922716,9.52932433082e-05,8.73585387063e-05,0.000109892104357,8.05067584797e-05,0.000268391643534,0.000102752717528,0.0,0.0,0.75,0.75,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.34552005593,0.187135046979,0.0351228602934,0.0,0.0,0.0395706766502,0.727080929011,0.000308882938893,0.0,0.526289319891,0.836681999645,1.0,0.00014177916078,8.14174655581e-05,0.00420921255954,0.000569922265474,0.80246913756,0.0,0.000529452370792,3.20614971026e-06,0.0
"[[ nvgraph_SSSP ]] void nvgraph::DeviceSpmvKernel<nvgraph::SpmvBlockThread<int=128, int=4>, int, float, nvgraph::MinPlusSemiring<float>, bool=0, bool=1>(nvgraph::CsrMvParams<int=4, nvgraph::SpmvBlockThread<int=128, int=4>>, int const &, nvgraph::Coord<nvgraph::CsrMvParams>*, nvgraph::CsrMvParams*, int=4*, int)",0.0794996324301,0.0405876621188,0.00865923034175,0.0403051463374,0.941273070076,0.79976610231,0.676206124337,0.0323572823573,0.0387270552892,0.0,0.0,0.06398809375,0.03125,1.28889973038e-06,0.652057023299,0.0,0.000219341021378,4.23525488806e-05,0.000598070000095,0.000202877736575,0.0,0.000461633629581,0.000780525457628,0.000677297785944,0.000382547481504,0.19594595,0.175,0.0,0.1,0.2,0.0,0.25,0.0,0.0,0.1,0.611979166667,0.1,0.175312637926,0.211139796998,0.178734604865,0.0,0.425136113277,0.0627396809625,0.122304281753,0.00120305907692,0.0,0.566773115348,0.836681999645,1.0,0.000970641953918,0.000150309171225,0.00370759655548,0.000325669862232,0.296296300132,0.0,0.00030567648159,2.10689838103e-06,0.0
"[[ nvgraph_SSSP ]] void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::for_each_n_detail::for_each_kernel, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=0>, thrust::device_ptr<float>, thrust::detail::wrapped_function<thrust::detail::device_generate_functor<thrust::detail::fill_functor<float>>, void>, unsigned int, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)",0.00291773491609,0.428914904613,0.0602010705825,0.212164984233,1.0,0.967454712008,0.96783924778,0.325791325791,0.182420213682,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,9.52932433082e-05,0.0,0.000109892104357,0.0,0.000558254611347,0.0,0.0,0.000579349364369,0.0,0.75,0.0,0.1,0.2,0.0,0.0,0.0,0.111111111111,0.0,0.0173611111111,0.1,0.267512638587,0.121319437782,0.0,0.0,0.199308116208,0.194734114648,0.525402647536,0.00134997912425,0.0,0.526289319891,0.0,1.0,0.0,8.14174655581e-05,0.00164660906141,0.000569922265474,0.80246913756,0.0,0.00898969458356,0.0,0.0
